year_month,close
2015-01,46.5
2015-02,47.2
2015-03,48.1
2015-04,46.8
2015-05,45.2
2015-06,44.8
2015-07,43.5
2015-08,38.2
2015-09,39.5
2015-10,43.2
2015-11,49.8
2015-12,48.9
2016-01,43.5
2016-02,40.2
2016-03,42.1
2016-04,41.5
2016-05,42.8
2016-06,38.9
2016-07,39.8
2016-08,40.5
2016-09,40.9
2016-10,40.1
2016-11,47.2
2016-12,51.8
2017-01,50.2
2017-02,50.8
2017-03,48.5
2017-04,45.2
2017-05,47.8
2017-06,50.1
2017-07,51.5
2017-08,50.2
2017-09,52.1
2017-10,54.3
2017-11,53.8
2017-12,55.2
2018-01,57.5
2018-02,55.2
2018-03,54.8
2018-04,55.1
2018-05,56.8
2018-06,52.4
2018-07,53.2
2018-08,55.8
2018-09,58.1
2018-10,51.2
2018-11,49.8
2018-12,48.1
2019-01,50.2
2019-02,52.1
2019-03,55.4
2019-04,57.8
2019-05,56.1
2019-06,57.9
2019-07,58.2
2019-08,55.8
2019-09,57.3
2019-10,59.2
2019-11,61.1
2019-12,60.8
2020-01,57.2
2020-02,45.8
2020-03,24.2
2020-04,22.5
2020-05,27.8
2020-06,30.1
2020-07,29.8
2020-08,31.5
2020-09,30.2
2020-10,29.8
2020-11,38.2
2020-12,40.5
2021-01,40.8
2021-02,43.5
2021-03,46.2
2021-04,47.8
2021-05,45.2
2021-06,44.1
2021-07,39.8
2021-08,38.5
2021-09,39.2
2021-10,40.8
2021-11,36.5
2021-12,38.2
2022-01,37.8
2022-02,38.5
2022-03,42.1
2022-04,41.8
2022-05,44.2
2022-06,32.5
2022-07,32.8
2022-08,32.2
2022-09,29.8
2022-10,31.2
2022-11,34.8
2022-12,33.5
2023-01,37.2
2023-02,38.8
2023-03,37.5
2023-04,37.8
2023-05,41.2
2023-06,46.5
2023-07,49.8
2023-08,45.2
2023-09,38.5
2023-10,36.8
2023-11,38.2
2023-12,39.5
2024-01,40.8
2024-02,43.5
2024-03,47.2
2024-04,45.8
2024-05,48.1
2024-06,46.2
2024-07,44.8
2024-08,45.5
2024-09,51.2
2024-10,56.8
2024-11,62.5
2024-12,59.8
