release_date,traffic_z,dal_close_release,dal_close_21_sessions_prior,mom21,forward_ret_21d,forward_ret_63d,forward_ret_126d
2025-02-24,-1.0757448868,61.49,67.45,-0.0883617494,-0.2202046880,-0.1962693958,-0.0014856388
2025-03-27,-1.8037119569,46.15,61.70,-0.2520259319,-0.0401485263,0.1250870272,0.3237410072
2025-04-25,-0.7017714006,41.58,48.07,-0.1350114416,0.1617361785,0.3026188167,0.4544131911
2025-05-27,-1.8289734335,49.40,41.58,0.1880711881,0.0202462951,0.2648716343,0.2872051764
2025-06-24,-1.8790761812,49.56,48.50,0.0218556701,0.1356572869,0.1988660227,0.4689206216
2025-07-23,-1.4163381507,55.98,48.25,0.1602072539,0.1314667161,0.1038383089,0.2503244947
2025-09-02,-0.6509617029,61.13,51.15,0.1951124145,-0.0684705494,0.0663256888,0.0064345818
2025-09-24,-1.8490171134,57.71,60.41,-0.0446945870,0.0773205060,0.2544094067,0.1491181187
2025-10-23,-1.4539462348,58.77,57.71,0.0183677019,-0.0044650240,0.0851661981,0.1060029767
2025-11-20,-1.0850620824,56.00,60.00,-0.0666666667,0.2037515058,0.1846498021,0.4042333505
2025-12-23,-1.8064266348,70.50,58.54,0.2043047490,-0.0680301094,-0.0839369408,0.3199829570
2026-01-29,-2.6737381953,66.36,69.53,-0.0455918309,-0.0169776690,0.0497093913,0.4008871214
2026-02-26,-1.3598383468,70.51,65.96,0.0689812007,-0.0380966952,0.2588739290,
2026-05-15,-1.7181360522,70.23,69.89,0.0048647875,0.1709718853,0.2230626516,
2026-06-02,-0.9418226515,80.02,68.98,0.1600463903,0.1636340501,,
2026-07-08,-0.9953533719,87.29,79.42,0.0990934261,0.0262921348,,
2026-07-24,-1.1799486728,85.06,90.65,-0.0616657474,-0.0351909542,,
