release_date,traffic_z,dal_close_release,dal_close_63_sessions_prior,mom63,mom63_z,divergence63,forward_ret_21d,forward_ret_63d,forward_ret_126d
2025-02-24,-1.0757448868,61.49,,,,,-0.2202046880,-0.1962693958,-0.0014856388
2025-03-27,-1.8037119569,46.15,60.32,-0.2349137931,,, -0.0401485263,0.1250870272,0.3237410072
2025-04-25,-0.7017714006,41.58,67.18,-0.3810657934,,,0.1617361785,0.3026188167,0.4544131911
2025-05-27,-1.8289734335,49.40,,,,,0.0202462951,0.2648716343,0.2872051764
2025-06-24,-1.8790761812,49.56,48.88,0.0139116203,,,0.1356572869,0.1988660227,0.4689206216
2025-07-23,-1.4163381507,55.98,40.34,0.3877045117,,,0.1314667161,0.1038383089,0.2503244947
2025-09-02,-0.6509617029,61.13,48.50,0.2604123711,,, -0.0684705494,0.0663256888,0.0064345818
2025-09-24,-1.8490171134,57.71,48.31,0.1945766912,0.573220,-2.422237,0.0773205060,0.2544094067,0.1491181187
2025-10-23,-1.4539462348,58.77,54.86,0.0712723296,0.104250,-1.558196,-0.0044650240,0.0851661981,0.1060029767
2025-11-20,-1.0850620824,56.00,61.69,-0.0922353704,-0.500742,-0.584320,0.2037515058,0.1846498021,0.4042333505
2025-12-23,-1.8064266348,70.50,57.71,0.2216253682,0.754056,-2.560483,-0.0680301094,-0.0839369408,0.3199829570
2026-01-29,-2.6737381953,66.36,57.86,0.1469063256,0.392422,-3.066160,-0.0169776690,0.0497093913,0.4008871214
2026-02-26,-1.3598383468,70.51,60.67,0.1621888907,0.435836,-1.795675,-0.0380966952,0.2588739290,
2026-05-15,-1.7181360522,70.23,69.00,0.0178260870,-0.221836,-1.496300,0.1709718853,0.2230626516,
2026-06-02,-0.9418226515,80.02,64.60,0.2386996904,0.804731,-1.746554,0.1636340501,,
2026-07-08,-0.9953533719,87.29,65.62,0.3302346845,1.184536,-2.179889,0.0262921348,,
2026-07-24,-1.1799486728,85.06,68.37,0.2441129150,0.688383,-1.868332,-0.0351909542,,
