year_month,passengers
2015-01,2600000
2015-02,2400000
2015-03,3000000
2015-04,3100000
2015-05,3300000
2015-06,3600000
2015-07,3700000
2015-08,3600000
2015-09,3200000
2015-10,3100000
2015-11,2800000
2015-12,2900000
2016-01,2650000
2016-02,2450000
2016-03,3050000
2016-04,3150000
2016-05,3350000
2016-06,3650000
2016-07,3750000
2016-08,3650000
2016-09,3250000
2016-10,3150000
2016-11,2850000
2016-12,2950000
2017-01,2700000
2017-02,2500000
2017-03,3100000
2017-04,3200000
2017-05,3400000
2017-06,3700000
2017-07,3800000
2017-08,3700000
2017-09,3300000
2017-10,3200000
2017-11,2900000
2017-12,3000000
2018-01,2750000
2018-02,2550000
2018-03,3150000
2018-04,3250000
2018-05,3450000
2018-06,3750000
2018-07,3850000
2018-08,3750000
2018-09,3350000
2018-10,3250000
2018-11,2950000
2018-12,3050000
2019-01,2800000
2019-02,2600000
2019-03,3200000
2019-04,3300000
2019-05,3500000
2019-06,3800000
2019-07,3900000
2019-08,3800000
2019-09,3400000
2019-10,3300000
2019-11,3000000
2019-12,3100000
2020-01,2700000
2020-02,2500000
2020-03,1200000
2020-04,150000
2020-05,400000
2020-06,900000
2020-07,1400000
2020-08,1500000
2020-09,1200000
2020-10,1300000
2020-11,900000
2020-12,1000000
2021-01,900000
2021-02,1000000
2021-03,1600000
2021-04,2000000
2021-05,2400000
2021-06,2900000
2021-07,3100000
2021-08,3000000
2021-09,2500000
2021-10,2700000
2021-11,2300000
2021-12,2400000
2022-01,2100000
2022-02,2300000
2022-03,2900000
2022-04,3000000
2022-05,3200000
2022-06,3400000
2022-07,3500000
2022-08,3400000
2022-09,3000000
2022-10,3100000
2022-11,2700000
2022-12,2700000
2023-01,2600000
2023-02,2500000
2023-03,3100000
2023-04,3200000
2023-05,3400000
2023-06,3700000
2023-07,3800000
2023-08,3700000
2023-09,3300000
2023-10,3200000
2023-11,2900000
2023-12,3000000
2024-01,2800000
2024-02,2700000
2024-03,3300000
2024-04,3400000
2024-05,3600000
2024-06,3900000
2024-07,4000000
2024-08,3900000
2024-09,3500000
2024-10,3400000
2024-11,3100000
2024-12,3200000
