period,site_updated_date,source_url,notes
2022-01,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-02,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-03,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-04,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-05,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-06,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-07,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-08,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-09,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-10,2023-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2022-11,2023-09-25,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; clearly not original monthly release
2022-12,2023-09-25,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; clearly not original monthly release
2023-01,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-02,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-03,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-04,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-05,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-06,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-07,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-08,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-09,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-10,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-11,2024-01-30,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2023-12,2024-01-31,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; plausible timing but not yet independently verified
2024-01,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-02,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-03,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-04,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-05,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-06,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-07,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-08,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-09,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-10,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-11,2025-01-24,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; likely bulk refresh
2024-12,2025-01-28,https://metroairports.org/msp-passenger-and-operations-reports,current site Updated timestamp; plausible timing but not yet independently verified
